##########################################################################################
# SDO/AIA Filament Eruption Catalog
# Website: http://aia.cfa.harvard.edu/filament/
# IDL save file: http://aia.cfa.harvard.edu/filament/catalog_table.sav
###
# Column Headers:
#  ID = Catalog ID number
# Start = Start time (UT)
# _End = End time (UT)
# X = X coordinate (arcsec)
# Y = Y coordinate (arcsec)
# Rating = Arbitrary interest rating from 1 to 5. -1 indicates a duplicate event.
# Type = Active Region (AR), Intermediate (IP), Quescient (QS), or Polar Crown (PC)
# Eruption = Full (F), Partial (P), or Confined (C)
# Symmetry = Symmetric (S) or Asymmetric (A)
# Direction = Radial (R), Non-radial (NR), or Sideways (S)
# Twist = Yes (Y) or No (N) for apparent twist motions
# Writhe = Yes (Y) or No (N) for apparent writhing motions
# Threads = Yes (Y) or No (N) for vertical threads
# Cavity = Yes (Y), No (N), or During (D) for presence of a coronal cavity
# Flare = Flares within movie FOV. "?" indicates flares without location info.
# CME = Yes (Y), No (N), or a CME speed number
# Box = [x1,x2,y1,y2] HEK box coordinates (arcsec)
# AIA_FOV = [x1,x2,y1,y2] Catalog movie box coordinates (pixels)
# HEK_Link = IVO ID link for the HEK event
# Cat_Link = URL for catalog entry
##########################################################################################
ID	START	_END	X	Y	RATING	TYPE	ERUPTION	SYMMETRY	DIRECTION	TWIST	WRITHE	THREADS	CAVITY	FLARE	CME	BOX	AIA_FOV	HEK_LINK	CAT_LINK
0050	2010-07-04T17:55:29	2010-07-04T20:30:46	-865	-494	2.0	QS	C	S?	R	N	N	N	D?	N	N	[-1014,-715,-380,-608]	[0,1279,865,1584]	ivo://helio-informatics.org/FE171_JuanMartinezSykora_20100707_222106	http://aia.cfa.harvard.edu/filament/index.html?search=0050
0051	2010-07-05T08:44:31	2010-07-05T22:22:29	932	481	4.0	QS	F	A	NR	Y?	N	Y	N	N	0112	[634,1231,810,151]	[2144,4095,2300,3397]	ivo://helio-informatics.org/FE171_RalphSeguin_20100706_172915	http://aia.cfa.harvard.edu/filament/index.html?search=0051
0052	2010-07-05T15:33:26	2010-07-05T22:51:16	-845	687	1.0	QS	F?	S?	R?	N	N	N	N	N	0472	[-421,-1269,188,1187]	[0,2957,2363,4024]	ivo://helio-informatics.org/FE171_RalphSeguin_20100706_180153	http://aia.cfa.harvard.edu/filament/index.html?search=0052
0053	2010-07-05T21:58:20	2010-07-06T09:02:17	575	865	1.0	PC	C	S?	R?	Y	N	Y	N	N	N	[377,774,1080,650]	[2368,3647,3130,3849]	ivo://helio-informatics.org/FE211_RalphSeguin_20100706_182455	http://aia.cfa.harvard.edu/filament/index.html?search=0053
0054	2010-07-06T00:22:40	2010-07-06T07:54:56	-313	600	2.0	QS	F	S	R	Y	N	Y	N	N	Y?	[-578,-48,803,397]	[887,2166,2689,3408]	ivo://helio-informatics.org/FE193_RalphSeguin_20100706_182921	http://aia.cfa.harvard.edu/filament/index.html?search=0054
0055	2010-07-06T08:18:59	2010-07-06T12:00:18	756	274	2.0	AR	P	A	S	Y	Y?	N	N	B1.0	Y?	[647,864,379,169]	[2668,3947,2145,2864]	ivo://helio-informatics.org/FE171_RalphSeguin_20100706_182117	http://aia.cfa.harvard.edu/filament/index.html?search=0055
0056	2010-07-08T05:55:17	2010-07-08T18:59:26	990	16	2.0	QS	P	A	NR?	Y	N	Y	N	N	Y?	[721,1259,435,-403]	[1615,4095,1378,2771]	ivo://helio-informatics.org/FE304_RalphSeguin_20100708_231506	http://aia.cfa.harvard.edu/filament/index.html?search=0056
0057	2010-07-17T18:17:42	2010-07-18T15:36:13	-283	388	1.0	-	-	-	-	-	-	-	-	N	-	[-737,172,655,121]	[618,2537,2155,3234]	ivo://helio-informatics.org/FE304_WeiLiu_20100720_005007	http://aia.cfa.harvard.edu/filament/index.html?search=0057
0058	2010-07-19T01:40:23	2010-07-19T17:13:36	228	504	1.0	-	-	-	-	-	-	-	-	N	-	[16,439,764,244]	[1468,3387,2349,3428]	ivo://helio-informatics.org/FE211_RalphSeguin_20100719_220850	http://aia.cfa.harvard.edu/filament/index.html?search=0058
0059	2010-07-20T00:00:28	2010-07-20T10:52:36	354	680	1.0	-	-	-	-	-	-	-	-	3?	-	[181,527,435,925]	[1679,3598,2642,3721]	ivo://helio-informatics.org/FE304_KarelSchrijver_20100720_150329	http://aia.cfa.harvard.edu/filament/index.html?search=0059
